Time [s],T [K],Current [A],Voltage [V],Power [mW],Resistance [Ohm]
60.0,5.552,0.001,1.333682,1.333682,1333.682
120.1,8.415,0.002,2.44541,4.89082,1222.705
180.2,11.242,0.003,3.50603,10.51809,1168.6766666666667
240.2,15.637,0.005,5.56771,27.83855,1113.542
